Symbol,Name,Industry,Market Cap
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1557424000
ADRA,Adara Acquisition,Blank Check / SPAC,141593759
ADRT,Ault Disruptive Technologies,Blank Check / SPAC,124000000
ADS,Alliance Data Systems,IT Services,2770621162
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,389975097
ADSK,Autodesk,Software,42303004553
ADT,ADT Inc.,Commercial Services & Supplies,6960498170
ADTH,AdTheorent Holding Company,Advertising Agencies,820570041
ADTN,ADTRAN,Communications Equipment,958286327
ADTX,Aditx,Biotechnology,16495600
ADUS,Addus HomeCare,Health Care Providers & Services,1246808320
ADV,Advantage Solutions,Advertising Agencies,1905520764
ADVM,Adverum Biotechnologies,Biotechnology,126616199
ADXN,Addex Therapeutics,Biotechnology,33678179
ADXS,Advaxis,Biotechnology,16748370
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",150647836
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,293400000
AEAE,AltEnergy Acquisition,Blank Check / SPAC,248000000
AEE,Ameren,Multi-Utilities,22548359112
AEG,Aegon,Insurance,8556747259
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,133043500
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,6468549
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,281302043
AEI,Alset EHome International,Real Estate-Development,43234183
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3144658374
AEL,American Equity Investment Life Holding Company,Insurance,3717032443
AEM,Agnico Eagle Mines,Metals & Mining,27924721657
AEMD,Aethlon Medical,Health Care Equipment & Supplies,19722496
AENZ,Aenza,Engineering & Construction,320494366
AEO,American Eagle Outfitters,Specialty Retail,2944140015
AEP,American Electric Power Company,Electric Utilities,48172412855
AER,AerCap Holdings,Trading Companies & Distributors,12488880102
AERC,AeroClean Technologies,Pollution & Treatment Controls,54677744
AERI,Aerie Pharmaceuticals,Pharmaceuticals,447141146
AES,The AES Corporation,Independent Power and Renewable Elect...,14816169976
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",67324071
AEVA,Aeva Technologies,Auto Parts,838056766
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",16286375
AEYE,AudioEye,Software,63121199
AEZS,AEterna Zentaris,Biotechnology,41563499
AFAC,Arena Fortify Acquisition,Blank Check / SPAC,214762490
AFAQ,AF Acquisition,Blank Check / SPAC,273000000
AFBI,Affinity Bancshares,Banks,105288676
AFCG,AFC Gamma,REIT-Specialty,381827666
AFG,American Financial Group,Insurance,11579656148
AFI,Armstrong Flooring,Building Products,32887196
AFIB,Acutus Medical,Medical Devices,46960872
AFL,Aflac,Insurance,38965665739
AFMD,Affimed,Biotechnology,535492572
AFRM,Affirm Holdings,IT Services,8778343421
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,302187480
AFYA,Afya Limited,Diversified Consumer Services,1162225149
AG,First Majestic Silver,Metals & Mining,3483837180
AGAC,African Gold Acquisition,Blank Check / SPAC,505494009
AGBA,AGBA Acquisition,Blank Check / SPAC,56067782
AGCB,Altimeter Growth 2,Blank Check / SPAC,570472000
AGCO,AGCO Corporation,Machinery,9751649151
AGE,AgeX Therapeutics,Biotechnology,26265307
AGEN,Agenus,Biotechnology,722602751
